_c0,signal_std,signal_rad,pluie,timestamp
2022-10-08T19:33:00.000+02:00,-23.146023,-30.206747,0,2022-10-08T19:33:00.000+02:00
2022-10-08T19:34:00.000+02:00,-23.148153,-30.20071,0,2022-10-08T19:34:00.000+02:00
2022-10-08T19:35:00.000+02:00,-23.135368,-30.200356,0,2022-10-08T19:35:00.000+02:00
2022-10-08T19:36:00.000+02:00,-23.142826,-30.203907,0,2022-10-08T19:36:00.000+02:00
2022-10-08T19:37:00.000+02:00,-23.14922,-30.207813,0,2022-10-08T19:37:00.000+02:00
2022-10-08T19:38:00.000+02:00,-23.147799,-30.201065,0,2022-10-08T19:38:00.000+02:00
2022-10-08T19:39:00.000+02:00,-23.144604,-30.196804,0,2022-10-08T19:39:00.000+02:00
2022-10-08T19:40:00.000+02:00,-23.150639,-30.201775,0,2022-10-08T19:40:00.000+02:00
2022-10-08T19:41:00.000+02:00,-23.142471,-30.19858,0,2022-10-08T19:41:00.000+02:00
2022-10-08T19:42:00.000+02:00,-23.145313,-30.197868,0,2022-10-08T19:42:00.000+02:00
2022-10-08T19:43:00.000+02:00,-23.156677,-30.198935,0,2022-10-08T19:43:00.000+02:00
2022-10-08T19:44:00.000+02:00,-23.147089,-30.195028,0,2022-10-08T19:44:00.000+02:00
2022-10-08T19:45:00.000+02:00,-23.144247,-30.194319,0,2022-10-08T19:45:00.000+02:00
2022-10-08T19:46:00.000+02:00,-23.14993,-30.191122,0,2022-10-08T19:46:00.000+02:00
2022-10-08T19:47:00.000+02:00,-23.146732,-30.197159,0,2022-10-08T19:47:00.000+02:00
2022-10-08T19:48:00.000+02:00,-23.15348,-30.196095,0,2022-10-08T19:48:00.000+02:00
2022-10-08T19:49:00.000+02:00,-23.150995,-30.19858,0,2022-10-08T19:49:00.000+02:00
2022-10-08T19:50:00.000+02:00,-23.145668,-30.198225,0,2022-10-08T19:50:00.000+02:00
2022-10-08T19:51:00.000+02:00,-23.150284,-30.190058,0,2022-10-08T19:51:00.000+02:00
2022-10-08T19:52:00.000+02:00,-23.15277,-30.192898,0,2022-10-08T19:52:00.000+02:00
2022-10-08T19:53:00.000+02:00,-23.15206,-30.194319,0,2022-10-08T19:53:00.000+02:00
2022-10-08T19:54:00.000+02:00,-23.161293,-30.197514,0,2022-10-08T19:54:00.000+02:00
2022-10-08T19:55:00.000+02:00,-23.164135,-30.199646,0,2022-10-08T19:55:00.000+02:00
2022-10-08T19:56:00.000+02:00,-23.15419,-30.196804,0,2022-10-08T19:56:00.000+02:00
2022-10-08T19:57:00.000+02:00,-23.16449,-30.198935,0,2022-10-08T19:57:00.000+02:00
2022-10-08T19:58:00.000+02:00,-23.14993,-30.193607,0,2022-10-08T19:58:00.000+02:00
2022-10-08T19:59:00.000+02:00,-23.1652,-30.187927,0,2022-10-08T19:59:00.000+02:00
2022-10-08T20:00:00.000+02:00,-23.157387,-30.19929,0,2022-10-08T20:00:00.000+02:00
2022-10-08T20:01:00.000+02:00,-23.163069,-30.192898,0,2022-10-08T20:01:00.000+02:00
2022-10-08T20:02:00.000+02:00,-23.172302,-30.188637,0,2022-10-08T20:02:00.000+02:00
2022-10-08T20:03:00.000+02:00,-23.172302,-30.191479,0,2022-10-08T20:03:00.000+02:00
2022-10-08T20:04:00.000+02:00,-23.159872,-30.191122,0,2022-10-08T20:04:00.000+02:00
2022-10-08T20:05:00.000+02:00,-23.162357,-30.19787,0,2022-10-08T20:05:00.000+02:00
2022-10-08T20:06:00.000+02:00,-23.16449,-30.190058,0,2022-10-08T20:06:00.000+02:00
2022-10-08T20:07:00.000+02:00,-23.158808,-30.186861,0,2022-10-08T20:07:00.000+02:00
2022-10-08T20:08:00.000+02:00,-23.162357,-30.192543,0,2022-10-08T20:08:00.000+02:00
2022-10-08T20:09:00.000+02:00,-23.165554,-30.191122,0,2022-10-08T20:09:00.000+02:00
2022-10-08T20:10:00.000+02:00,-23.163778,-30.18757,0,2022-10-08T20:10:00.000+02:00
2022-10-08T20:11:00.000+02:00,-23.17017,-30.185085,0,2022-10-08T20:11:00.000+02:00
2022-10-08T20:12:00.000+02:00,-23.163424,-30.185795,0,2022-10-08T20:12:00.000+02:00
2022-10-08T20:13:00.000+02:00,-23.161648,-30.188637,0,2022-10-08T20:13:00.000+02:00
2022-10-08T20:14:00.000+02:00,-23.167685,-30.187216,0,2022-10-08T20:14:00.000+02:00
2022-10-08T20:15:00.000+02:00,-23.167685,-30.181889,0,2022-10-08T20:15:00.000+02:00
2022-10-08T20:16:00.000+02:00,-23.16449,-30.180824,0,2022-10-08T20:16:00.000+02:00
2022-10-08T20:17:00.000+02:00,-23.16804,-30.185085,0,2022-10-08T20:17:00.000+02:00
2022-10-08T20:18:00.000+02:00,-23.169815,-30.18118,0,2022-10-08T20:18:00.000+02:00
2022-10-08T20:19:00.000+02:00,-23.160938,-30.177982,0,2022-10-08T20:19:00.000+02:00
2022-10-08T20:20:00.000+02:00,-23.164845,-30.179403,0,2022-10-08T20:20:00.000+02:00
2022-10-08T20:21:00.000+02:00,-23.162714,-30.176918,0,2022-10-08T20:21:00.000+02:00
2022-10-08T20:22:00.000+02:00,-23.181534,-30.177628,0,2022-10-08T20:22:00.000+02:00
2022-10-08T20:23:00.000+02:00,-23.163424,-30.172657,0,2022-10-08T20:23:00.000+02:00
2022-10-08T20:24:00.000+02:00,-23.15632,-30.176563,0,2022-10-08T20:24:00.000+02:00
2022-10-08T20:25:00.000+02:00,-23.1826,-30.175497,0,2022-10-08T20:25:00.000+02:00
2022-10-08T20:26:00.000+02:00,-23.169106,-30.173012,0,2022-10-08T20:26:00.000+02:00
2022-10-08T20:27:00.000+02:00,-23.175497,-30.16804,0,2022-10-08T20:27:00.000+02:00
2022-10-08T20:28:00.000+02:00,-23.176207,-30.173367,0,2022-10-08T20:28:00.000+02:00
2022-10-08T20:29:00.000+02:00,-23.161293,-30.165909,0,2022-10-08T20:29:00.000+02:00
2022-10-08T20:30:00.000+02:00,-23.157742,-30.165909,0,2022-10-08T20:30:00.000+02:00
2022-10-08T20:31:00.000+02:00,-23.169106,-30.164845,0,2022-10-08T20:31:00.000+02:00
2022-10-08T20:32:00.000+02:00,-23.161293,-30.156675,0,2022-10-08T20:32:00.000+02:00
2022-10-08T20:33:00.000+02:00,-23.16449,-30.15277,0,2022-10-08T20:33:00.000+02:00
2022-10-08T20:34:00.000+02:00,-23.157032,-30.143538,0,2022-10-08T20:34:00.000+02:00
2022-10-08T20:35:00.000+02:00,-23.169106,-30.148865,0,2022-10-08T20:35:00.000+02:00
2022-10-08T20:36:00.000+02:00,-23.173721,-30.145668,0,2022-10-08T20:36:00.000+02:00
2022-10-08T20:37:00.000+02:00,-23.162357,-30.148508,0,2022-10-08T20:37:00.000+02:00
2022-10-08T20:38:00.000+02:00,-23.165909,-30.145668,0,2022-10-08T20:38:00.000+02:00
2022-10-08T20:39:00.000+02:00,-23.161293,-30.139631,0,2022-10-08T20:39:00.000+02:00
2022-10-08T20:40:00.000+02:00,-23.16946,-30.140696,0,2022-10-08T20:40:00.000+02:00
